Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Cash And Equivalents,37211.2,36510.4,9662.4,9963.5,11590.3,9738.8,21246.9,6661.5,9122.3,18823.3,23065.5,ADANIENT
Short Term Investments,1442.9,5909,1795.4,4491.8,3318.1,4488.2,9626.6,7667.4,7558.3,6259.8,6199.3,ADANIENT
Trading Asset Securities,,,,957.6,706.9,18.2,539.6,285.1,620.2,1650,14544.8,ADANIENT
Total Cash & ST Investments,38654.1,42419.4,11457.8,15412.9,15615.3,14245.2,31413.1,14614,17300.8,26733.1,43809.6,ADANIENT
Accounts Receivable,130702.5,189111.6,104020.2,129911.9,121818.3,144326.5,135475.1,124382.9,143036.4,133161.7,105783.3,ADANIENT
Other Receivables,3636.2,1481.4,675.1,932.5,3751.3,6930.4,5850.3,6118.9,7276.3,13603.7,11544.6,ADANIENT
Notes Receivable,35526.6,31004.5,65490.2,39350.7,41457.7,22387.7,19598.6,14131,14528.4,45226.3,13826.7,ADANIENT
Total Receivables,169865.3,221597.5,170185.5,170195.1,167027.3,173644.6,160924,144632.8,164841.1,191991.7,131154.6,ADANIENT
Inventory,39240.7,40816.8,12997.8,16519,23425.6,26688.2,25623.7,17570.4,67882.8,69180.5,94868.6,ADANIENT
Prepaid Exp.,2277.3,2013.8,844.9,1061.2,1197.8,1025.1,1421,1044.4,2946.7,4374,3244.2,ADANIENT
Other Current Assets,18977.7,20404.1,17880.8,18398.5,147297.8,15677,22447.4,21771.5,56482.5,78938,95523.9,ADANIENT
Total Current Assets,269015.1,327251.6,213366.8,221586.7,354563.8,231280.1,241829.2,199633.1,309453.9,371217.3,368600.9,ADANIENT
"Gross Property, Plant & Equipment",890493.3,976453.1,150279.5,188697.6,138995.4,128255.7,154324.5,162581.2,434191,722017.2,881011.9,ADANIENT
Accumulated Depreciation,-81958,-124696.2,-2982.5,-8744.1,-12242.9,-13150.6,-17545.6,-19243.7,-30801.6,-47128.4,-74712.5,ADANIENT
"Net Property, Plant & Equipment",808535.3,851756.9,147297,179953.5,126752.5,115105.1,136778.9,143337.5,403389.4,674888.8,806299.4,ADANIENT
Long-term Investments,1144.8,1238.7,8580.8,12116.3,15042.2,15248.8,19163.7,64836.1,58558.2,100274,123160.7,ADANIENT
Goodwill,1674.7,20874.4,803.8,796.6,796.6,542.2,1391.3,1519.7,3009.2,8871.6,10400.1,ADANIENT
Other Intangibles,31313,33039.3,33681.6,32878.4,32904.5,31982.8,39743.1,51459.5,129807.8,124619.9,192470.5,ADANIENT
Accounts Receivable Long-Term,12398,9029.9,322.7,304.7,,30,90.1,,,4202.7,4358.7,ADANIENT
Loans Receivable Long-Term,565.7,783.9,78.4,9759.4,14208.7,13764.6,9458.7,31990.1,62365.3,45770.3,23000,ADANIENT
"Deferred Tax Assets, LT",1518.2,1403.8,4050.4,4876.3,3170.5,3493.1,2727.7,765.4,1738.3,2093.4,1456.1,ADANIENT
"Deferred Charges, LT",988.7,2571.4,,,,,,,,,,ADANIENT
Other Long-Term Assets,55383.9,60635.8,9379.4,14622.1,17508.3,13915.1,17800.9,22887.2,49279.8,82940.2,77572.1,ADANIENT
Total Assets,1182537.4,1308585.7,417560.9,476894,564947.1,425361.8,468983.6,516428.6,1017601.9,1414878.2,1607318.5,ADANIENT
LIABILITIES,,,,,,,,,,,,ADANIENT
Accounts Payable,88762.2,103831.8,53465.7,85550.1,85490,119887.3,118136.6,117563.4,176478.2,285468.5,246692.6,ADANIENT
Accrued Exp.,7203.1,8481.4,1911,1807.5,2488.1,2192,2730.1,4350.3,4230.2,14094.5,18839.2,ADANIENT
Short-term Borrowings,153948.1,194132,110059.9,106798.8,125993.8,69591.4,81368.4,58202.3,193692.6,42418.5,48972.9,ADANIENT
Curr. Port. of LT Debt,69796.7,86494.7,11543.2,9925.1,7643.3,12918.4,7666.5,7078.9,8510.8,14877.4,15084.4,ADANIENT
Curr. Port. of Leases,212.1,212.1,,,,,186.8,125.3,636.4,12962.9,12665.8,ADANIENT
Curr. Income Taxes Payable,1750,2179.8,396.1,325.9,402.4,383,495.2,242.9,1676.6,1014.9,1531.7,ADANIENT
"Unearned Revenue, Current",260.5,434.4,17.1,248.9,13701.5,14454.9,17364.1,13761.3,19111.6,28949.8,52304.1,ADANIENT
Other Current Liabilities,45220.1,32984.1,22319.8,17613.2,107276.3,5665.9,4941.1,13506.5,34161.4,48244,50426.2,ADANIENT
Total Current Liabilities,367152.8,428750.3,199712.8,222269.5,342995.4,225092.9,232888.8,214830.9,438497.8,448030.5,446516.9,ADANIENT
Long-Term Debt,495842.3,554867.6,70090.4,91733.3,42729.8,29922.2,35158.1,95233,208034.3,325900.3,437181.5,ADANIENT
Long-Term Leases,,,3069.6,3811.5,3588.9,3885,4322.7,1631.1,5166.2,135845.5,139196.9,ADANIENT
"Unearned Revenue, Non-Current",7810,7598,1073.7,1155.7,5054.3,6067,5763.6,2697.2,33906,47627.4,58613.7,ADANIENT
Pension & Other Post-Retire. Benefits,174,999,278.9,378.7,,261.5,313.7,412.6,858.2,1269.6,1586.8,ADANIENT
"Def. Tax Liability, Non-Curr.",7997.5,10048.3,767.1,779.3,893.7,,233,261.4,26062.7,29799.1,29338.4,ADANIENT
Other Non-Current Liabilities,21182.4,8025.9,7940,9783.8,11014.7,8696.1,8204.3,12262.3,35793,47505.3,53021.4,ADANIENT
Total Liabilities,900159,1010289.1,282932.5,329911.8,406276.8,273924.7,286884.2,327328.5,748318.2,1035977.7,1165455.6,ADANIENT
Common Stock,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1140,1140,ADANIENT
Additional Paid In Capital,82107.8,82107.8,9826.4,9826.4,9826.4,9826.4,9826.4,9826.4,25178.5,102138.3,102138.3,ADANIENT
Retained Earnings,97492.9,111871.2,103499.4,113310,120307.7,112794.8,122289.9,131492.6,137128.7,160761.5,191194.8,ADANIENT
Treasury Stock,,,,,,,,,,,,ADANIENT
Comprehensive Inc. and Other,56871.4,62199.3,19350.5,17123.5,19657.8,23838.4,36249.6,29166.9,59158.1,66470.3,96287.8,ADANIENT
Total Common Equity,237571.9,257278.1,133776.1,141359.7,150891.7,147559.4,169465.7,171585.7,222565.1,330510.1,390760.9,ADANIENT
Minority Interest,44806.5,41018.5,852.3,5622.5,7778.6,3877.7,12633.7,17514.4,46718.6,48390.4,51102,ADANIENT
Total Equity,282378.4,298296.6,134628.4,146982.2,158670.3,151437.1,182099.4,189100.1,269283.7,378900.5,441862.9,ADANIENT
Total Liabilities And Equity,1182537.4,1308585.7,417560.9,476894,564947.1,425361.8,468983.6,516428.6,1017601.9,1414878.2,1607318.5,ADANIENT
Supplemental Items,,,,,,,,,,,,ADANIENT
Total Shares Out. on Filing Date,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1140,1140,ADANIENT
Total Shares Out. on Balance Sheet Date,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1140,1140,ADANIENT
Book Value/Share,216,233.9,121.6,128.5,137.2,134.2,154.1,156,196.5,289.9,319.8,ADANIENT
Tangible Book Value,204584.2,203364.4,99290.7,107684.7,117190.6,115034.4,128331.3,118606.5,89748.1,197018.6,187890.3,ADANIENT
