Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Net Income,22207.7,19480.5,10107.2,9877.4,7572.5,7171.4,11381.7,9226.4,7765.6,24729.4,32407.8,ADANIENT
Depreciation & Amort.,31944.7,34668.4,2973.3,3154.6,6639.2,3897.7,4102.8,4463,10363.4,21383.2,26569.4,ADANIENT
Amort. of Goodwill and Intangibles,119.1,213.7,3.2,,,,531.2,824.6,1990.8,2809.9,3325.6,ADANIENT
"Depreciation & Amort., Total",32063.8,34882.1,2976.5,3154.6,6639.2,3897.7,4634,5287.6,12354.2,24193.1,29895,ADANIENT
Other Amortization,166.9,383.5,168,,,,86.6,83.8,123.6,168.3,526.5,ADANIENT
(Gain) Loss From Sale Of Assets,-1138,-160.7,-124.6,91.8,102.5,-5376.2,-425.4,-27.3,-11.7,-63.2,-1979.4,ADANIENT
(Gain) Loss On Sale Of Invest.,11.5,-544.2,-63.1,-1020.4,-303.5,-320.4,-117.6,-18.3,-19.1,-105.9,-1106.7,ADANIENT
Asset Writedown & Restructuring Costs,,1507.6,749.3,609.7,896.4,6708,1297.3,794.4,,,,ADANIENT
Provision for Credit Losses,,-256.9,,,,,,,,,,ADANIENT
(Income) Loss on Equity Invest.,-1.7,-0.7,0.1,,10.2,-0.3,,-1.7,,,,ADANIENT
Stock-Based Compensation,-5.6,-1.9,,,,,,,,,,ADANIENT
Provision & Write-off of Bad debts,136.4,442.6,-74.5,284.8,178.2,657,1310.8,491.4,189.6,1178.7,1963.7,ADANIENT
Net Cash From Discontinued Ops.,,,,3245.4,6727.2,1696.6,,,,119.8,-464.7,ADANIENT
Other Operating Activities,34760.8,61939.1,1705,4997,10299.1,4743.8,10979.4,6595.2,18772.3,32590.5,41685.5,ADANIENT
Change in Acc. Receivable,-43542.3,-52508.8,28181,-39653.2,-5322.5,-21086.6,4551.6,-2482.3,-29386.8,-20644.8,13202.4,ADANIENT
Change In Inventories,-1920.9,-1648.4,-1331.3,-3521.2,-7131.2,-3692.3,1725.9,3434.2,-50237.9,-1297.7,-25688.1,ADANIENT
Change in Acc. Payable,22972.6,25487.8,809.7,33949.5,2875.1,41101.7,-8700.3,19846.6,71876.4,128064.4,-28459.8,ADANIENT
Change in Other Net Operating Assets,16566,-3685.1,8016.8,-4274.7,6880.7,-2233.4,-2188.4,-2796.9,-17573.4,-12668,40658.5,ADANIENT
Cash from Ops.,82277.2,85316.5,51120.1,7740.7,29423.9,33267,24535.6,40433.1,13852.8,176264.6,102640.7,ADANIENT
Capital Expenditure,-113618.9,-95574.2,-59201.4,-41671.2,-73050,-17723.2,-29011.6,-41389.8,-116474.8,-147247.2,-223659.1,ADANIENT
"Sale of Property, Plant, and Equipment",1686.4,4051.2,301.2,201.9,109.8,70.9,1796.6,7799.9,18.7,699.2,1196.5,ADANIENT
Cash Acquisitions,,-42043,-523.5,,,,,,-14842.6,-9136.9,-132.4,ADANIENT
Divestitures,,,453,,,12695.2,,,888.2,277.2,1590.5,ADANIENT
Invest. in Marketable & Equity Securt.,25104,2656.1,-1997.9,-2700,-2520.6,-1253.4,-7735.8,-31583.6,-21901,-15252.9,-35360.8,ADANIENT
Net (Inc.) Dec. in Loans Originated/Sold,-3563.7,4414.7,28452.5,25332.4,-7117.8,19511.6,7130.3,-17070.2,-30772.6,-4024.4,54169.9,ADANIENT
Other Investing Activities,7702.9,8890.3,9314.5,6548.1,5513.9,4790.2,4590.8,3219.8,8210.3,6084.1,11373.6,ADANIENT
Cash from Investing,-82689.3,-117604.9,-23201.6,-12288.8,-77064.7,18091.3,-23229.7,-79023.9,-174873.8,-168600.9,-190821.8,ADANIENT
Short Term Debt Issued,31951.5,40183.9,,,30868.3,,11613.4,,54960.9,,6532.4,ADANIENT
Long-Term Debt Issued,91770.5,262784.2,47719.3,42664.4,119821.3,30314.7,32740.8,75200.6,128675.2,303385.4,218683.9,ADANIENT
Total Debt Issued,123722,302968.1,47719.3,42664.4,150689.6,30314.7,44354.2,75200.6,183636.1,303385.4,225216.3,ADANIENT
Short Term Debt Repaid,,,-29775.6,-3261.1,,-56332.6,,-12869.3,,-151368.4,,ADANIENT
Long-Term Debt Repaid,-90065,-187600.8,-35404.5,-22207.5,-84835.2,-20027.6,-32959,-17776.7,-3772.7,-200120.4,-122128.6,ADANIENT
Total Debt Repaid,-90065,-187600.8,-65180.1,-25468.6,-84835.2,-76360.2,-32959,-30646,-3772.7,-351488.8,-122128.6,ADANIENT
Issuance of Common Stock,5.6,2,,,,,,,5100,77000,26240,ADANIENT
Repurchase of Common Stock,,,,,,,,,,-6400,,ADANIENT
Common Dividends Paid,-2591.6,-1460,-1979.6,,-439.9,-439.9,-1539.7,,-1220.5,-1185.9,-1368,ADANIENT
Total Dividends Paid,-2591.6,-1460,-1979.6,,-439.9,-439.9,-1539.7,,-1220.5,-1185.9,-1368,ADANIENT
Special Dividend Paid,,,,,,,,,,,,ADANIENT
Other Financing Activities,-42156.3,-79456.9,-15040.1,-10037.6,-14218.8,-15098.7,-12064.5,-13466.5,-24728.7,-33285.9,-39172.9,ADANIENT
Cash from Financing,-11085.3,34452.4,-34480.5,7158.2,51195.7,-61584.1,-2209,31088.1,159014.2,-11975.2,88786.8,ADANIENT
Foreign Exchange Rate Adj.,2615.6,2957.5,4949.9,-2308.9,576.2,6777.8,12411.2,-7082.7,4467.6,14012.5,3636.5,ADANIENT
Misc. Cash Flow Adj.,,,,-0.1,,-907.8,,,,,,ADANIENT
Net Change in Cash,-8881.8,5121.5,-1612.1,301.1,4131.1,-4355.8,11508.1,-14585.4,2460.8,9701,4242.2,ADANIENT
Supplemental Items,,,,,,,,,,,,ADANIENT
Cash Interest Paid,53844.5,79410,14935.2,15805.9,17260,16058.2,15321.6,12117,26008.7,33424.5,40547.2,ADANIENT
Cash Taxes Paid,6400.5,8337.7,2410,2195,2590.6,2199.5,2987.9,1121.8,2046.7,9099.7,17079,ADANIENT
Levered Free Cash Flow,-84422.2,-92028.5,-41349.1,-11993.8,-93099.5,42344,-13477.1,124.7,-122014.7,-15088.4,-155325.4,ADANIENT
Unlevered Free Cash Flow,-52442.5,-53975.5,-34221.5,-5259.8,-86724.8,51254.8,-5013.9,7522.6,-109295.5,7034.8,-129159.2,ADANIENT
Change in Net Working Capital,14421.9,49755.6,-13121.4,-23171.1,28962,-55138.4,-7702.8,-31154.3,20900.4,-89782.6,-11715,ADANIENT
Net Debt Issued,33657,115367.3,-17460.8,17195.8,65854.4,-46045.5,11395.2,44554.6,179863.4,-48103.4,103087.7,ADANIENT
Filing Date,,,,,,,,,,,,ADANIENT
Restatement Type,,,,,,,,,,,,ADANIENT
Calculation Type,,,,,,,,,,,,ADANIENT
,,,,,,,,,,,,ADANIENT
Net Income,17396.4,23143.3,28971.6,39115.2,36736.2,39902.2,37631.3,49943,48860.3,53088.5,81106.4,ADANIPORTS
Depreciation & Amort.,6494.8,9116.8,9535.1,10445.7,10645.8,12352.3,15152,18888,25591.8,29415.1,33752.8,ADANIPORTS
Amort. of Goodwill and Intangibles,,,1020.5,1074.2,1126.9,1183.2,1429,1959.2,5169.2,4521.1,4744.4,ADANIPORTS
"Depreciation & Amort., Total",6494.8,9116.8,10555.6,11519.9,11772.7,13535.5,16581,20847.2,30761,33936.2,38497.2,ADANIPORTS
Other Amortization,3.5,573.7,134.9,100.4,230.6,540.8,419.8,268.2,318.2,394.7,440.1,ADANIPORTS
(Gain) Loss From Sale Of Assets,-1103.5,,29.1,35.4,112.6,36.4,-4767.1,35.5,-557.1,12130.6,-88.9,ADANIPORTS
(Gain) Loss On Sale Of Invest.,,-78.4,-304,-403.3,-346.4,-430.2,-487,-1046.7,-54.1,-207.1,-194.1,ADANIPORTS
Asset Writedown & Restructuring Costs,,,,,1551.8,-529.5,,,,,2159,ADANIPORTS
(Income) Loss on Equity Invest.,,,,,753.6,0.6,43.9,142.7,-173.9,-467.8,1616.9,ADANIPORTS
Provision & Write-off of Bad debts,,49.6,130.7,41.3,-1.9,241.5,194.7,250,,,,ADANIPORTS
Other Operating Activities,1267.6,1777.1,-1621.2,2479.9,12343.1,6679.7,14492.2,1034,17463.1,28861.2,26734.7,ADANIPORTS
Change in Acc. Receivable,-6259.6,534.1,-2149.5,328.3,-15614.7,12642.6,-1756.6,2952,2301.8,-7477.4,-3297.9,ADANIPORTS
Change In Inventories,-714.9,-661.9,-52,-229.5,448.7,-2569.2,-446.5,-235.8,6054.3,-666.6,80.9,ADANIPORTS
Change in Acc. Payable,933.3,-631.8,428.3,215.7,-250.6,795.8,843.4,-689.2,1097.4,1327.3,-3650.6,ADANIPORTS
Change in Other Net Operating Assets,-6698.6,-3251.8,-12318.3,-12577.6,8345.7,-10552.2,11269,2056.9,-1869.6,-1924.6,6772.1,ADANIPORTS
Cash from Ops.,11319,30570.7,23805.2,40625.7,56081.4,60294,74018.1,75557.8,104201.4,118995,150175.8,ADANIPORTS
Capital Expenditure,-12460.4,-18010.2,-21247.7,-37481.8,-27321.5,-29404.9,-36214.1,-23517,-38137,-91410.4,-74163,ADANIPORTS
"Sale of Property, Plant, and Equipment",1438.7,170.9,145.6,4.6,343.7,538.3,629.9,38,1679.1,2037.9,267.1,ADANIPORTS
Cash Acquisitions,,-22426.9,,-15562.7,-3750,-14781.6,-2734.6,-136669.8,-211,-132221.7,-31017.3,ADANIPORTS
Divestitures,,,,,,,,,1162.7,,2477.7,ADANIPORTS
Invest. in Marketable & Equity Securt.,10718.5,343.3,-6978.3,-10855.9,-10355,13848.2,12127.5,-11841.6,-45828,-8013.1,-1108.6,ADANIPORTS
Net (Inc.) Dec. in Loans Originated/Sold,,,,19441.5,-1546.9,-399.1,2625.9,10317.7,4110.6,13903,1881.7,ADANIPORTS
Other Investing Activities,-24797.1,15070.6,-13451.2,18060.2,4171.3,-14042.4,16061.2,20246,24405.4,20103.5,32196.9,ADANIPORTS
Cash from Investing,-25100.3,-24852.3,-41531.6,-26394.1,-38458.4,-44241.5,-7504.2,-141426.7,-52818.2,-195600.8,-69465.5,ADANIPORTS
Short Term Debt Issued,5053.4,14773.8,161808.2,209755.4,157417.9,23821.6,36495,,25763.8,,,ADANIPORTS
Long-Term Debt Issued,19508.4,51055.4,134393.7,119875.8,56956.3,1546.3,121991.2,138934.5,72443.1,74458.7,19297.5,ADANIPORTS
Total Debt Issued,24561.8,65829.2,296201.9,329631.2,214374.2,25367.9,158486.2,138934.5,98206.9,74458.7,19297.5,ADANIPORTS
Short Term Debt Repaid,-5143.5,-5966,-142908.7,-215507.5,-183455.9,-9377.2,-46085.9,-11500,,-53898.3,-4749.7,ADANIPORTS
Long-Term Debt Repaid,-12974.2,-47084.5,-110462.5,-114866.6,-32912.4,-18099.9,-70768.1,-72707,-23548,-17637,-56313.4,ADANIPORTS
Total Debt Repaid,-18117.7,-53050.5,-253371.2,-330374.1,-216368.3,-27477.1,-116854,-84207,-23548,-71535.3,-61063.1,ADANIPORTS
Issuance of Common Stock,10158.8,,,,,,,,8000,,,ADANIPORTS
Repurchase of Common Stock,,,,,,,-19600,,,,,ADANIPORTS
Repurchase of Preferred Stock,,,,,,,-124,,,,,ADANIPORTS
Common Dividends Paid,-2070.1,-2069.1,-4555.1,-6.8,-2691.6,-4184.8,-6999.3,-2.3,,,,ADANIPORTS
Common and/or Pref. Dividends Paid,,,,,,,,,-10266.5,-10929.1,-10796.8,ADANIPORTS
Total Dividends Paid,-2070.1,-2069.1,-4555.1,-6.8,-2691.6,-4184.8,-6999.3,-2.3,-10266.5,-10929.1,-10796.8,ADANIPORTS
Special Dividend Paid,,,,,,,,,,,,ADANIPORTS
Other Financing Activities,-6807.8,-13074.9,-16571.5,-12497.4,-14204.6,29427.4,-57465.2,-19586.7,-78250.1,-19332.3,-25438.7,ADANIPORTS
Cash from Financing,7725,-2365.3,21704.1,-13247.1,-18890.3,23133.4,-42556.3,35138.5,-5857.7,-27338,-78001.1,ADANIPORTS
Misc. Cash Flow Adj.,,0.1,,102.6,,561.2,15.1,785.5,-2113.1,28441.5,1789.9,ADANIPORTS
Net Change in Cash,-6056.3,3353.2,3977.7,1087.1,-1267.3,39747.1,23972.7,-29944.9,43412.4,-75502.3,4499.1,ADANIPORTS
Supplemental Items,,,,,,,,,,,,ADANIPORTS
Cash Interest Paid,6360.3,12002.2,12326.9,10875.3,11639.5,14717.2,19238.7,19377.3,25505.1,23710,28085.1,ADANIPORTS
Cash Taxes Paid,5551.7,5220,8343,7232.8,10539.9,11930.8,9942.6,8728.3,9597.2,8474,12719.2,ADANIPORTS
Levered Free Cash Flow,-10826.2,-1485.7,5638.5,-30533.8,-2307.7,39835.4,20390.1,40993.3,7370.1,-7595.5,3579.6,ADANIPORTS
Unlevered Free Cash Flow,-6285.8,5358.7,12484.5,-23009,5177.8,48685.2,32321.3,53827.2,23128.1,8333.7,20493.6,ADANIPORTS
Change in Net Working Capital,15079,4938.9,-675.9,23993.4,16945.2,-28272.2,-17343.5,-19330,16080,-6256.1,19457,ADANIPORTS
Net Debt Issued,6444.1,12778.7,42830.7,-742.9,-1994.1,-2109.2,41632.2,54727.5,74658.9,2923.4,-41765.6,ADANIPORTS
Filing Date,,,,,,,,,,,,ADANIPORTS
Restatement Type,,,,,,,,,,,,ADANIPORTS
Calculation Type,,,,,,,,,,,,ADANIPORTS
,,,,,,,,,,,,ADANIPORTS
Net Income,3167.4,3399,2363.8,2209.9,1174.2,2360,4549,1504,10556,8191,8986,APOLLOHOSP
Depreciation & Amort.,1593.6,2040.8,2526.9,3011.2,3407.8,3753,5940,5506,5599,5747,6870,APOLLOHOSP
Amort. of Goodwill and Intangibles,77.2,75.7,45.2,48.9,25.3,13,4,,7,14,,APOLLOHOSP
"Depreciation & Amort., Total",1670.8,2116.5,2572.1,3060,3433,3766,5944,5506,5606,5761,6870,APOLLOHOSP
Other Amortization,7.1,,86.6,80.4,157.3,189,253,225,401,391,,APOLLOHOSP
(Gain) Loss From Sale Of Assets,36,-346.6,58.2,57.1,80.5,15,37,-325,40,150,36,APOLLOHOSP
(Gain) Loss On Sale Of Invest.,-136.8,-104.2,-365.2,-26.2,-25.5,-32,-2020,-381,-3376,-285,-393,APOLLOHOSP
Asset Writedown & Restructuring Costs,,,,,1,,,,,,,APOLLOHOSP
(Income) Loss on Equity Invest.,,,,,,,,,-73,432,-180,APOLLOHOSP
Stock-Based Compensation,,,,4.4,6.2,13,3,32,26,760,875,APOLLOHOSP
Provision & Write-off of Bad debts,204.4,268.2,200.9,268.9,588.4,657,752,1310,706,543,738,APOLLOHOSP
Other Operating Activities,925.4,974.8,947,1355.8,2008,2544,4115,5497,6666,2324,4198,APOLLOHOSP
Change in Acc. Receivable,-693.4,-1341.4,-1040.7,-1618.2,-2366.5,-2725,-773,-5303,-3419,-5364,-3334,APOLLOHOSP
Change In Inventories,-599.4,-721.8,-975.9,-607.3,-989.8,-189,-1531,-946,-1758,419,-692,APOLLOHOSP
Change in Acc. Payable,519,1308.3,1549.9,-1157.9,1104.2,1076,1905,2534,2530,2809,4108,APOLLOHOSP
Change in Other Net Operating Assets,-1366.7,-853.5,574.9,2598.6,198.6,1378,-305,2994,-945,-2364,-2010,APOLLOHOSP
Cash from Ops.,3733.9,4699.5,5971.7,6225.5,5369.6,9052,12929,12647,16960,13767,19202,APOLLOHOSP
Capital Expenditure,-6118.9,-8680.6,-10159,-6734.5,-6213.9,-6789,-5130,-2955,-6572,-11285,-11368,APOLLOHOSP
"Sale of Property, Plant, and Equipment",160.5,25.9,254.2,47.1,8.9,69,24,151,54,41,19,APOLLOHOSP
Cash Acquisitions,,,,,,,,-40,-1010,-499,-37,APOLLOHOSP
Divestitures,,,,,,,,5278,,,,APOLLOHOSP
Invest. in Marketable & Equity Securt.,2302.2,669.5,682.2,-4959.2,1946.5,-534,2043,-11356,-1413,2563,-4403,APOLLOHOSP
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,20,70,110,-18,24,APOLLOHOSP
Other Investing Activities,98,394.5,340.4,127.8,209.4,148,155,218,359,492,393,APOLLOHOSP
Cash from Investing,-3558.3,-7590.7,-8882.1,-11518.8,-4049.1,-7106,-2888,-8634,-8472,-8706,-15372,APOLLOHOSP
Short Term Debt Issued,176.1,390.2,788.6,,,,,,,,,APOLLOHOSP
Long-Term Debt Issued,2145.7,6263.3,9990.1,7942.8,5717,5624,7518,4768,4257,5849,7074,APOLLOHOSP
Total Debt Issued,2321.8,6653.5,10778.6,7942.8,5717,5624,7518,4768,4257,5849,7074,APOLLOHOSP
Short Term Debt Repaid,,,,,,,,,,,,APOLLOHOSP
Long-Term Debt Repaid,-1060,-1172.2,-3959.8,-5886.2,-2698.7,-3276,-9378,-14626,-9188,-7132,-4828,APOLLOHOSP
Total Debt Repaid,-1060,-1172.2,-3959.8,-5886.2,-2698.7,-3276,-9378,-14626,-9188,-7132,-4828,APOLLOHOSP
Issuance of Common Stock,72.4,417.5,28.7,6055.9,83.2,,,11701,,45,25,APOLLOHOSP
Common Dividends Paid,-765.2,-800,-1615.4,,-1008.4,-837,-1287,-383,-433,-2552,-2157,APOLLOHOSP
Total Dividends Paid,-765.2,-800,-1615.4,,-1008.4,-837,-1287,-383,-433,-2552,-2157,APOLLOHOSP
Special Dividend Paid,,,,,,,,,,,,APOLLOHOSP
Other Financing Activities,-1203.8,-1175.7,-1932.9,-3343,-3178.2,-3658,-5948,-4861,-2552,-2540,-3225,APOLLOHOSP
Cash from Financing,-634.8,3923.1,3299.3,4769.6,-1085,-2147,-9095,-3401,-7916,-6330,-3111,APOLLOHOSP
Misc. Cash Flow Adj.,0,,,,,,-1,-166,1006,138,2,APOLLOHOSP
Net Change in Cash,-459.2,1031.9,388.9,-523.7,235.5,-201,945,446,1578,-1131,721,APOLLOHOSP
Supplemental Items,,,,,,,,,,,,APOLLOHOSP
Cash Interest Paid,1203.8,1175.7,1932.9,3343,3178.2,3621,5645,4676,2552,2513,3029,APOLLOHOSP
Cash Taxes Paid,1103.8,1002.8,1411.9,1336.2,1251,1924,3325,-353,2043,3820,4667,APOLLOHOSP
Levered Free Cash Flow,-4106.8,-5991.3,-6633.5,-5037.8,102.5,611.9,3618,4998.8,4830.5,-245.1,14916.4,APOLLOHOSP
Unlevered Free Cash Flow,-3435.3,-5345.3,-5619.8,-3610.1,1722.5,2385,6513.6,7535,6895.5,1715.5,17725.1,APOLLOHOSP
Change in Net Working Capital,2180.2,2074,809.1,2643.9,-1576.2,-992.3,627,-1182,2493,2969,-10700,APOLLOHOSP
Net Debt Issued,1261.8,5481.3,6818.9,2056.7,3018.3,2348,-1860,-9858,-4931,-1283,2246,APOLLOHOSP
Filing Date,,,,,,,,,,,,APOLLOHOSP
Restatement Type,,,,,,,,,,,,APOLLOHOSP
Calculation Type,,,,,,,,,,,,APOLLOHOSP
,,,,,,,,,,,,APOLLOHOSP
Net Income,12188.1,13951.5,17451.6,19394.3,20389.3,21559.2,27051.7,31392.9,30305.7,41064.5,54602.3,ASIANPAINT
Depreciation & Amort.,2260.3,2378.3,2499.2,3104.8,3256.9,5913.4,7467.9,7596.1,7875.3,8289.3,8256.6,ASIANPAINT
Amort. of Goodwill and Intangibles,39.5,106.8,31.3,12.9,50.5,49.7,47.2,45.1,50.6,54.9,66.7,ASIANPAINT
"Depreciation & Amort., Total",2299.8,2485.1,2530.5,3117.7,3307.4,5963.1,7515.1,7641.2,7925.9,8344.2,8323.3,ASIANPAINT
