Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Cash And Equivalents,,1132.79,2199.936617,12751.00122,5262.56,1646.23,6812.19,4366.49,4885.7,5094.9,6381.7,360ONE
Short Term Investments,,234.01,9467.505326,17620.33356,10.1,151.08,62.58,10.04,34.6,34.7,,360ONE
Trading Asset Securities,,2138.25,,,,,,15761.76,33107,35709,,360ONE
Total Cash & ST Investments,,3505.05,11667.44194,30371.33478,5272.66,1797.31,6874.77,20138.29,38027.3,40838.6,6381.7,360ONE
Accounts Receivable,,584.58,869.487212,6443.508679,1952.78,2984.29,2806.6,2623.96,3024.7,3677.3,3281.7,360ONE
Other Receivables,,4.28,,15.072689,3256.98,4515.91,1954.96,1910.29,3774.2,2930.5,3117.8,360ONE
Notes Receivable,,69.2,1008.359639,23542.26886,70561.18,49664.6,36318.93,36705.95,39169.5,49100.8,63686.7,360ONE
Total Receivables,,658.06,1877.846851,30000.85023,75770.94,57164.8,41080.49,41240.2,45968.4,55708.6,70086.2,360ONE
Inventory,,,,,,197.51,,,,,,360ONE
Prepaid Exp.,,24.85,30.671567,60.962182,164.81,304.85,764.74,1358.71,652.6,1023.9,,360ONE
Restricted Cash,,,,,,,2852.34,2026.75,3033.9,402.2,,360ONE
Other Current Assets,,10.14,66.083381,55.441519,2626.16,2359.55,7245.79,14060.86,11463.4,4530.8,,360ONE
Total Current Assets,,4198.1,13642.04374,60488.5887,83834.57,61824.02,58818.13,78824.81,99145.6,102504.1,76467.9,360ONE
"Gross Property, Plant & Equipment",,129.34,205.070466,374.984196,578.26,2620.86,3734.64,3684.68,3605.7,4007.1,,360ONE
Accumulated Depreciation,,-73.9,-98.5,-139.7,-94.2,-270.2,-397.4,-538.6,-676.1,-826.4,,360ONE
"Net Property, Plant & Equipment",,55.43,106.575404,235.244447,484.1,2350.63,3337.22,3146.11,2929.6,3180.7,3566.2,360ONE
Long-term Investments,,242.55,396.210341,1729.597249,10685.33,13079.19,18938.14,,,,59476.7,360ONE
Goodwill,,333.38,339.596353,288.315277,,1878.51,1878.51,3733.94,3733.9,4175.5,4175.5,360ONE
Other Intangibles,,20.25,34.342763,41.785779,39.16,871.23,876.89,1516.09,1499.1,1832.9,2294.2,360ONE
Loans Receivable Long-Term,,0.73,0.861271,12636.04904,,,,,,,,360ONE
"Deferred Tax Assets, LT",,132.35,51.036662,132.965996,170.31,174.33,52.92,11.21,98.7,13.5,44.9,360ONE
Other Long-Term Assets,,85.25,124.927482,451.206568,452.31,17625.54,46361.24,167.49,34.3,213.9,5163.1,360ONE
Total Assets,,5068.04,14695.59402,76003.75306,95665.78,97803.45,130263.05,87399.65,107441.2,111920.6,151188.5,360ONE
LIABILITIES,,,,,,,,,,,,360ONE
Accounts Payable,,48.65,0.903496,,1246.3,789.52,874.2,894.23,1762.6,1355.7,1606.3,360ONE
Accrued Exp.,,780.41,840.170655,1224.650255,1334.73,2492.6,2924.2,65.41,1.2,1.5,,360ONE
Short-term Borrowings,,1499.08,910.048367,33970.94717,,,,,,,,360ONE
Curr. Port. of LT Debt,,3.49,4.809038,2646.907357,47177.46,27242.85,41143.5,19742.98,37554.9,41833.8,24563.4,360ONE
Curr. Port. of Leases,,,,,,,117.56,118.92,85,119.7,,360ONE
