Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Revenue,645818.8,339318.3,365328.6,359239.2,403786.6,434025.6,395371.3,694201.8,1275395,964209.8,ADANIENT
Other Revenue,,,,,,,,,,,ADANIENT
Total Revenue,645818.8,339318.3,365328.6,359239.2,403786.6,434025.6,395371.3,694201.8,1275395,964209.8,ADANIENT
Cost Of Goods Sold,430718.1,283940.4,309061,299983.4,333214.1,346603.3,302478.2,537175,934869,503912.3,ADANIENT
Gross Profit,215100.7,55377.9,56267.6,59255.8,70572.5,87422.3,92893.1,157026.8,340526,460297.5,ADANIENT
Selling General & Admin Exp.,89704.1,38710.2,36975.9,38913.8,50884.5,64579.2,67842.6,119894.8,252349.1,346531.5,ADANIENT
Exploration/Drilling Costs,,,,,,,,,,,ADANIENT
Provision for Bad Debts,,,,,,,,,,,ADANIENT
R & D Exp.,,,,,,,,,,,ADANIENT
Depreciation & Amort.,35218.6,3144.5,3154.6,6639.2,3897.7,4720.6,5371.4,12477.8,24361.4,30421.5,ADANIENT
Other Operating Expense/(Income),436.1,-419.2,,-134,-116.8,-396.4,-139.7,-308.8,-405.3,-437,ADANIENT
"Other Operating Exp., Total",125358.8,41435.5,40130.5,45419,54665.4,68903.4,73074.3,132063.8,276305.2,376516,ADANIENT
Operating Income,89741.9,13942.4,16137.1,13836.8,15907.1,18518.9,19818.8,24963,64220.8,83781.5,ADANIENT
Interest Expense,-60884.8,-11404.2,-10774.4,-10199.5,-14257.3,-13541.1,-11836.7,-20350.6,-35397.1,-41865.9,ADANIENT
Interest and Invest. Income,6881.9,9511.3,6349.2,5249.8,4918.2,5242.8,4315,7697.5,8354.8,10580.5,ADANIENT
Net Interest Exp.,-54002.9,-1892.9,-4425.2,-4949.7,-9339.1,-8298.3,-7521.7,-12653.1,-27042.3,-31285.4,ADANIENT
Income/(Loss) from Affiliates,,219.9,1175.3,2194.8,1917.3,2419.9,2994.4,3123.3,2126.6,406.4,ADANIENT
Currency Exchange Gains (Loss),-5248.7,-575.7,-300.2,-386.3,271.3,159.2,2825.2,,,,ADANIENT
Other Non-Operating Inc. (Exp.),-3661.4,-612,-728.9,-1610.6,-1903.3,-2019.3,-1836.4,-3264.8,-1419.3,448.1,ADANIENT
EBT Excl. Unusual Items,26828.9,11081.7,11858.1,9085,6853.3,10780.4,16280.3,12168.4,37885.8,53350.6,ADANIENT
Impairment of Goodwill,,,,,,,,,,,ADANIENT
Gain (Loss) On Sale Of Invest.,558,63.1,138.8,167.4,265.4,117.6,18.3,19.1,105.9,1106.7,ADANIENT
Gain (Loss) On Sale Of Assets,204.8,161.7,26.2,11.4,3.4,526.2,33.3,15.7,19.7,1881.9,ADANIENT
Asset Writedown,-756.7,-749.3,-609.7,-896.4,-6708,-1297.3,-794.4,,,,ADANIENT
Legal Settlements,,,,1855.1,,3284.8,,,,,ADANIENT
Other Unusual Items,-201.1,220.5,938.6,-3635.5,5182.6,231.5,-1683.4,440.6,-3505.6,-6683.7,ADANIENT
EBT Incl. Unusual Items,26633.9,10777.7,12352,6587,5596.7,13643.2,13854.1,12643.8,34505.8,49655.5,ADANIENT
Income Tax Expense,3653.9,779.4,2711.5,1121.1,1445.4,3243.3,3396.5,4766.8,10379.4,16315.1,ADANIENT
Earnings from Cont. Ops.,22980,9998.3,9640.5,5465.9,4151.3,10399.9,10457.6,7877,24126.4,33340.4,ADANIENT
Earnings of Discontinued Ops.,,,-388,476.1,907.8,,,,89.6,12.3,ADANIENT
Extraord. Item & Account. Change,,,,,,,,,,,ADANIENT
Net Income to Company,22980,9998.3,9252.5,5942,5059.1,10399.9,10457.6,7877,24216,33352.7,ADANIENT
