 Metric Date, Revenue_share , OI_share ,  NI_Growth  ,  Revenue_Growth  ,  GP_Margin  , OP_Margin , NP_Margin , EPS , EPS_GrowthCurrent_Ratio , Quick_Ratio , DE_Ratio , Interest_Coverage_Ratio , Leverage , Asset_Turnover_Ratio , Receivables_Turnover Ratio , OCFR , FCF , BV_share , DPS , Shares_Os , ROE , ROCE , Op_Margin , EPS_Growth , Current_Ratio , Receivables_Turnover_Ratio , OCF , symbol , NII_share , EBT_share , NI_Margin , NIM , CIR , LTD , ROA , NITR , NIncM , NPA , Tier1 , Tier2 , Interbank , NII_Growth , EBT_Growth ,
31-03-2015, 19.90 , 7.60 ,,, 72.40 ,, 24.40 , 4.90 ,,, 1.60 , 17.80 , 0.60 , 0.90 ,,, -49.20 , 8.40 , 1.10 , 229.70 , 0.60 , 0.50 , 38.00 ,, 1.60 , 7.80 , -109.50 ,  360ONE  ,,,,,,,,,,,,,,,,
31-03-2016, 25.10 , 10.60 , 51.90 , 29.20 , 69.40 ,, 28.70 , 7.20 ,,, 0.20 , 12.00 , 0.20 , 0.40 ,,," 2,254.20 ", 52.20 , 1.50 , 235.40 , 0.10 , 0.10 , 42.40 , 29.20 , 7.60 , 6.80 ," 2,155.70 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2017, 36.70 , 21.30 , 47.90 , 83.90 , 75.70 ,, 23.10 , 8.50 ,,, 4.00 , 2.60 , 0.80 , 0.10 ,,," -34,275.30 ", 51.50 , 1.50 , 295.90 , 0.20 , 0.10 , 58.10 , 83.90 , 1.50 , 1.70 ," -34,504.10 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2018, 54.20 , 33.50 , 51.80 , 57.80 , 73.30 ,, 22.20 , 12.00 ,,, 4.10 , 1.90 , 0.80 , 0.20 ,,," -27,352.10 ", 58.90 , 2.30 , 316.40 , 0.20 , 0.10 , 61.90 , 57.80 , 1.60 , 8.80 ," -27,719.60 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2019, 47.10 , 28.60 , -1.50 , -7.90 , 74.70 ,, 23.70 , 11.20 ,, 1.90 , 2.40 , 2.30 , 0.70 , 0.20 ,,," 20,617.00 ", 86.70 , 2.50 , 335.70 , 0.10 , 0.10 , 60.90 , -7.90 , 1.90 , 5.30 ," 18,522.70 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2020, 44.20 , 16.10 , -46.30 , -3.70 , 65.80 ,, 13.20 , 5.80 ,,, 3.40 , 1.10 , 0.80 , 0.10 ,,," 17,198.70 ", 86.90 , 5.00 , 344.30 , 0.10 ,  -    , 36.40 , -3.70 , 1.20 , 5.40 ," 16,280.90 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2021, 47.30 , 25.80 , 83.50 , 8.70 , 65.00 ,, 22.30 , 10.60 ,,, 2.10 , 2.20 , 0.70 , 0.20 ,,," 4,878.80 ", 80.90 , 7.50 , 349.70 , 0.10 , 0.10 , 54.50 , 8.70 , 3.20 , 6.30 ," 4,626.60 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2022, 58.70 , 31.70 , 56.50 , 25.30 , 63.40 ,, 27.90 , 16.40 ,,, 2.60 , 3.10 , 0.70 , 0.20 ,,," 9,451.80 ", 85.60 , 5.00 , 353.30 , 0.20 , 0.10 , 54.10 , 25.30 , 2.10 , 6.90 ," 9,288.00 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2023, 57.90 , 35.20 , 13.90 , -0.70 , 71.30 ,, 32.00 , 18.50 ,,, 2.60 , 3.20 , 0.70 , 0.20 ,,," -12,746.60 ", 88.00 , 17.30 , 355.40 , 0.20 , 0.10 , 60.70 , -0.70 , 2.10 , 5.60 ," -13,452.90 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2024, 81.80 , 46.20 , 22.20 , 42.00 , 67.50 ,, 27.50 , 22.50 ,,, 3.40 , 2.60 , 0.80 , 0.20 ,,," -3,680.50 ", 96.40 , 16.50 , 357.70 , 0.20 , 0.10 , 56.50 , 42.00 , 2.50 , 8.90 ," -4,701.10 ",  360ONE  ,,,,,,,,,,,,,,,,
