Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Return on Assets %,0.037682,0.04503,0.010096,0.022551,0.016601,0.020078,0.025883,0.02514,0.020341,0.033001,0.034652,ADANIENT
Return on Capital %,0.044667,0.052513,0.011909,0.029291,0.024783,0.032791,0.040011,0.037412,0.030099,0.050291,0.05221,ADANIENT
Return on Equity %,0.100086,0.079149,0.046189,0.068466,0.035765,0.026773,0.062361,0.056344,0.034368,0.074443,0.081242,ADANIENT
Return on Common Equity %,0.098366,0.078732,0.051692,0.07462,0.048563,0.041974,0.071803,0.054105,0.039404,0.089101,0.086075,ADANIENT
Margin Analysis,,,,,,,,,,,,ADANIENT
Gross Margin %,0.24772,0.333066,0.163203,0.154019,0.164948,0.174776,0.201421,0.234951,0.226197,0.266996,0.477383,ADANIENT
SG&A Margin %,0.058979,0.138899,0.114082,0.101212,0.108322,0.126018,0.148791,0.171592,0.172708,0.197859,0.359394,ADANIENT
EBITDA Margin %,0.184233,0.19297,0.049861,0.052806,0.056998,0.049047,0.052413,0.062526,0.053119,0.066441,0.112631,ADANIENT
EBITA Margin %,0.126223,0.139289,0.041098,0.044171,0.038516,0.039394,0.043891,0.052212,0.038827,0.052556,0.09034,ADANIENT
EBIT Margin %,0.126006,0.138958,0.041089,0.044171,0.038516,0.039394,0.042667,0.050127,0.035959,0.050353,0.086891,ADANIENT
Earnings from Cont. Ops Margin %,0.048044,0.035582,0.029465,0.026388,0.015215,0.01028,0.023961,0.02645,0.011346,0.018916,0.034577,ADANIENT
Net Income Margin %,0.040328,0.030164,0.029786,0.027037,0.021079,0.01776,0.026223,0.023336,0.011186,0.019389,0.03361,ADANIENT
Net Income Avail. for Common Margin %,0.040328,0.030164,0.029786,0.028099,0.019753,0.015512,0.026223,0.023336,0.011186,0.019319,0.032194,ADANIENT
Normalized Net Income Margin %,0.008206,0.020545,0.020732,0.021997,0.020344,0.015839,0.017785,0.022621,0.010794,0.018968,0.033601,ADANIENT
Levered Free Cash Flow Margin %,-0.153308,-0.142498,-0.121859,-0.03283,-0.259157,0.104867,-0.031051,0.000315,-0.175762,-0.01183,-0.16109,ADANIENT
Unlevered Free Cash Flow Margin %,-0.095234,-0.083576,-0.100853,-0.014397,-0.241412,0.126935,-0.011552,0.019026,-0.15744,0.005515,-0.133953,ADANIENT
Asset Turnover,,,,,,,,,,,,ADANIENT
Total Asset Turnover,0.478482,0.518496,0.393151,0.816874,0.689623,0.815476,0.970599,0.802448,0.905069,1.048637,0.638085,ADANIENT
Fixed Asset Turnover,0.707714,0.777958,0.679279,2.232715,2.342563,3.339044,3.446233,2.822907,2.539482,2.365613,1.30194,ADANIENT
Accounts Receivable Turnover,4.844856,4.038713,2.315124,3.123372,2.85416,3.034337,3.102381,3.042979,5.19186,9.235364,8.070558,ADANIENT
Inventory Turnover,10.81976,10.760218,10.552541,20.941362,15.019972,13.298297,13.251413,14.005533,12.572378,13.641419,6.143432,ADANIENT
Short Term Liquidity,,,,,,,,,,,,ADANIENT
Current Ratio,0.732706,0.763268,1.068368,0.996928,1.033727,1.027487,1.038389,0.929256,0.705713,0.828553,0.825502,ADANIENT
Quick Ratio,0.471173,0.543468,0.5816,0.658017,0.411623,0.735261,0.74172,0.675488,0.382244,0.387247,0.360876,ADANIENT
Cash from Ops. to Curr. Liab.,0.224095,0.198988,0.255968,0.034825,0.085785,0.147792,0.105353,0.188208,0.031591,0.39342,0.229869,ADANIENT
Avg. Days Sales Out.,75.33746,90.375095,158.090772,116.86059,127.883225,120.289765,117.973878,119.948125,70.302285,39.521835,45.349962,ADANIENT
Avg. Days Inventory Out.,33.734395,33.92091,34.683258,17.42948,24.30097,27.446905,27.619458,26.061,29.031735,26.75669,59.57565,ADANIENT
Avg. Days Payable Out.,65.747815,81.30667,112.389816,81.16359,101.71309,111.393255,126.059184,146.098915,91.342345,90.05353,183.884622,ADANIENT
Avg. Cash Conversion Cycle,43.32404,42.989335,80.384214,53.12648,50.471105,36.343415,19.534152,-0.1,7.991675,-23.8,-79,ADANIENT
Long Term Solvency,,,,,,,,,,,,ADANIENT
Total Debt/Equity,2.549058,2.801595,1.446671,1.444179,1.134149,0.768087,0.70677,0.85812,1.544988,1.404074,1.478063,ADANIENT
Total Debt/Capital,0.718235,0.736952,0.591281,0.590864,0.531429,0.434417,0.414098,0.461821,0.60707,0.584039,0.596459,ADANIENT
LT Debt/Equity,1.755949,1.86012,0.543421,0.650043,0.291917,0.223242,0.216809,0.512237,0.791731,1.218646,1.304428,ADANIENT
LT Debt/Capital,0.494764,0.489299,0.222106,0.265955,0.136784,0.126262,0.127028,0.275674,0.311094,0.506908,0.52639,ADANIENT
Total Liabilities/Total Assets,0.761209,0.772046,0.677583,0.691792,0.719141,0.64398,0.611714,0.633831,0.735374,0.732202,0.725093,ADANIENT
EBIT / Interest Exp.,1.356099,1.473962,1.222567,1.497726,1.356615,1.115716,1.367606,1.674351,1.226646,1.814295,2.001187,ADANIENT
EBITDA / Interest Exp.,1.982744,2.046881,1.483567,1.790512,2.007549,1.389098,1.709824,2.121064,1.833714,2.497772,2.715252,ADANIENT
(EBITDA-CAPEX) / Interest Exp.,NM,0.477127,NM,NM,NM,0.146002,NM,NM,NM,NM,NM,ADANIENT
Total Debt/EBITDA,7.094979,6.705822,11.511569,11.00311,8.78862,5.873172,5.558806,6.463316,11.148754,6.017205,5.745263,ADANIENT
Net Debt/EBITDA,6.71397,6.365443,10.83435,10.20417,8.026006,5.153891,4.202039,5.881233,10.685139,5.714842,5.359875,ADANIENT
Total Debt/(EBITDA-CAPEX),NM,28.76806,NM,NM,NM,55.878651,NM,NM,NM,NM,NM,ADANIENT
Net Debt/(EBITDA-CAPEX),NM,27.30783,NM,NM,NM,49.035261,NM,NM,NM,NM,NM,ADANIENT
Altman Z Score,0.834309,1.073315,1.733682,1.365381,1.276847,1.820057,1.83638,1.955644,2.162414,2.992472,2.382596,ADANIENT
Growth Over Prior Year,,,,,,,,,,,,ADANIENT
Total Revenue,0.185192,0.172789,-0.474593,0.076654,-0.016669,0.124004,0.074888,-0.08906,0.755822,0.83721,-0.243992,ADANIENT
Gross Profit,0.435492,0.576844,-0.742549,0.016065,0.053106,0.19098,0.238758,0.062578,0.690403,1.168585,0.351724,ADANIENT
EBITDA,0.578988,0.228404,-0.864241,0.140245,0.061389,-0.03278,0.148655,0.086689,0.491662,1.297971,0.281593,ADANIENT
EBITA,0.6841,0.294191,-0.844973,0.157146,-0.142548,0.149622,0.197584,0.083637,0.305686,1.486873,0.29951,ADANIENT
EBIT,0.681214,0.293332,-0.844639,0.157411,-0.142548,0.149622,0.16419,0.070193,0.259561,1.572639,0.304585,ADANIENT
Earnings from Cont. Ops.,1.172901,-0.131408,-0.564913,-0.035787,-0.433028,-0.24051,1.505215,0.005548,-0.246768,2.062891,0.381905,ADANIENT
Net Income,0.376811,-0.122805,-0.481164,-0.022737,-0.233351,-0.052968,0.587095,-0.189366,-0.158329,2.18448,0.310496,ADANIENT
Normalized Net Income,-0.545665,1.936147,-0.469803,0.142324,-0.090539,-0.124923,0.207007,0.158615,-0.162136,2.22825,0.339252,ADANIENT
Diluted EPS before Extra,0.376811,-0.122805,-0.481164,0.015652,-0.308707,-0.117356,0.817117,-0.189366,-0.158329,2.07325,0.254838,ADANIENT
